name	raga	seq
anaghAm akhilANda nAyakam - mandhAri - roopakam - Muthaiah Bhagavathar	mandhari	pMpn's'snppMpMgMpMpMpn's'R'R'sn'snpn's'R'snppMpMgRgMppMpnn's's'R'R'sn's'Rn'snpgMpn's'R'snpMppMpnn's's'R'R'sn's'R'g'R'sn'snpMgMp'R'snpMgRgMpn'snpMgRgMpMgRs.nsRgMpn's'R'sn'R's'g'R'snpn's'R'snpMgMpMgRgM'sn's's'R'sn's's'R'g'R'R'g'R'sn's'R's'sn's'R'snpMpn's'R'g'R'R'g'g'M'g'R'sn's'R'g'R'snppMpn's'R'snpn's'R'snpMgMpMgRs.nsRgM'R'g'R'g'p'M'g'R'g'g'R'g'R's's's'R'g'g'R'snpn's'R'g'R'snpMgRsRgMpnn'sn'spMMpgMpMgRsRgMpgMpngMpn'snpMgMnpM'snpMgRgMpg'snn'R'g'R'g's'R's'Rnpnn's's'R'R'g'g'M'R'g'R's'spMgRgMsRgMppMppnn's'snppMggRRgss.nRssRgMpMn'snppMpMgMpppMsRgMpMgMpMgRsRgMpMpn's'sn's's'R'sn's's'R'g'R'R'g'R'sn's'R's'sn's'R'snpMpn's'R'g'R'R'g'g'M'g'R'sn's'R'g'R'snppMpn's'R'snpn's'R'snpMgMpMgRs.nsRgM'R'g'R'g'p'M'g'R'g'g'R'g'R's's's'R'g'g'R'snpn's'R'g'R'snpMgRsRgM
Anandha natana - kEdhAram - MishraChapu - MuthuswamiDikshithar	kedharam	s.nsrgmpmgrrss.nssrs.n.psrgmpn'g'r'snpnpmgrrssrgssspmgrsrs.ns.ns.npmgmgrsrsssrs.n.pspmgrrsrrgsgmmpppgmp's's's's'ss.n's'r's'r'snpnpmgmgmppn's.npmgmpmgmgrrssrrgsgmpnpmgrsrss's'sp's'sngmpmgmpn'snpmgrs.n.p.n.nsmmggrs.n.nsmgrsmgmpnmgrsrssmgmmp'snn's'snppmgrsrs.nppnpmgmmgrrssrrgsssss.ns.ngmpnpmgmgrsrssp'snpnpmrssrgsmgmpppnpgmp's's'snn'spn's's'm'g'r'r'snppmmgmpnpmgrsrss.nsmgrsmgmpnpm'snpnpmgrsrssmgmppppnpgmp'sp's'spn's'sn's'm'g'r'r'snpnpmgmp's'r'snpmgrsrs.n
Anandha nilaya - bowLi - Adi (Khanda) - Annamacharya	bowli	gpppDppD'snnDpgpD's'snnDpgpDpgpgRsgggppppDppD'snnDppgpD's'snpD's'spD's's'R'g'g's'R'g'g's'R'g'g's'R'g'p'g'R's'snnDpgpDpgpgRs
AnandhaBhairavi - CheluvudaNinne - Varnam - Adi - Ammasatram Kannu Swami	ananda bhairavi	sspmpmpNNpmGrGGmGmpmmpmGrGrsGmGGrsGmpGmpdp'sN's'G'r'G'm'G'r'G'r'sN'G'r'sNdpGsrsrs.NsGr.NsGrpmGrGGmdp'sN's'G'r's'm'G'G'r's'sNNdpmGGrspmGrs.NpmppNdNpdpmGGmmGrGmpmGrGmGrsGrGmp'sNdppNdNpdpmGrGmGrs.NsGrGmpmpdppmGmpGpmGrGrs.NsGrsmGrsdpmGrGmpdp'sN's'G'r's'm'G'r'sNdpmp'sNdpmpmGrsGrGmp'sp'sNdpmGrGmpmGmssppmGmmGrGmGGmmpsGrsrs.NsmGGrrspNdpmGmp'sNdpmpdp'sN's'G'r's'rN's'm'm'G'r'sp's'sNdpsmGrGm
AnandhaBhairavi - Raaraa Saami - Varnam - Adi - Ramanathapuram Srinivas Iyengar	ananda bhairavi	pGmpmdpmpmGr.NsGrs.NsmpmGrGmsmmGrsGrmGr.N.NsGGsGmpdpmGrGmpNNpmmpdp'sNN's'm'm'G'r's'G'r'sNN'sp'sN's'G'r'G'm'G'G'r'sNsNdpmpmGr.NsmGmpmpmGr.NsGrpmGrGGpmGrGmpmGrGmpdp'sNN's'G'r'm'G'rNN'sNdppmGrsGrGmpddpp'sN'r'sNdpdmpGmppdppmpmGrGmpGmpmGr.NsGrGmppdpmGmppmGr.N.N.NsmGrs.NsmGrGmpdNpdmpdmpmdpmGmpmpGrGmpGmppdp'sN's'G'r'G'm'G'r'sN'sp'sNdpspmGrsGm'sp'sNdpmGrs.Ns.NsGrGmpdpNp'sN'r'sNdpspmdpmGr.ps.NsGr.NspmGrGmpmGmpGrGmpdp'sN'G'r'sNdp'r'sNdp'sNdpNdpdppmGrGm
AnandhaBhairavi - Varnam - Adi - B K Padmanabharaya	ananda bhairavi	pNppmGmpdpmGrsrpmGrsGrGmsGr.NsGrGmpNpmdpmGrGmpNppmp's'sN's'm'G'r'p'm'G'r's'sdN's'sp's'r'sNdppmmGmpmmGrGmpmdpmGmGpmGrGmpdmdppmGrsr.Nsspp's's'm'G'r's's'sNdppmGrsssGrGmpppNdpmmGrGmpNppmGrGmp's'sNNdpmGrGmpNppmGrGmpmGrs.NssGrGmspmGmpmGrs.Ns'm'G'r'sNdpmGrGmmmpmGr.NsGrGmp'sNdpmGrsGrGm'sNdppmpmGmsm's'm'G'r'sNdpmGmppmpdp'sNdpmGmmmGpmdppmGrGGpdmpGmGrs.NssmGrspmGrsr.Nsspdmpd's'rN's's'r'sNdpdpmGrs.Nsp's'm'G'r's'sNdpmGrGm's'sNNddppmGrsmGpmdp'sN'G'r's'sNdpmppdpmGrsGssdppG's's's'm'G'r'sN'sp'sNdpmppmGrs.Ns'm'G'r'sN's'sNdpmpmGrGm
AnandhAmRuthavarshiNi - amruthavarshiNi - Adi - MuthuswamiDikshithar	amruthavarshini	sgMpppMgsssgMgMpnnpMgs.n.nggs.ns.nsgsggMpn'snnppMgMpMgMggssgMMgsgMpnpMgMpn'snnppMgMpMgMggssgMMgsgMpnpMgMpn's'g'g's'snnppMgMggssgs.n.p.nsgsgsgs.n.p.nsgsgppnppMMggs.nsgs.n.p.nsgsg'g's'snnppMMgssgs.n.p.nsgsg's'gn'spnMpsMgppnppMgMpp's'snp's's'snnpMpMpnpppMgMpp's'snp's'sgMpnppn'snppMgMpp's'snp's'sn's'g's'snnp'snn's'g's'snnp'snpMgMpMgsn's'g'M'g'snnp'snpMgMpMgsss.n.psssgsggMpss.n.psssgsggMppn's'g'snppMgMp'snpMnpMpMgMgsggssnnpp'snpMgMgssgMpn'snnpMMgs.p.nsgMpMMgsgMpgMpnpn's'g'snpMMgs'snpMg
AnandhaNatamaduvar - Poorvikalyani - Rupakam - NilakandaSivan	poorvi kalyani	sR.dsRgMppMgMgRsppMgMgRssR.dsRgdppMgMgRssRgMpMgRsgRs.dsRg'sndpppMgMgRspppppgRs.dsRg'sndpppMgMgRsMpdp's'sgRs.dsRg'sndpppMgMgRs's'R'g'R'p'M'g'R'sndpMndpdpMgRgpppMgMgRs's's'sndsndpMgMd'sndpMgRs'g'R'sn'd'sndpMgRgMd'sndpMgRsMpdp's's's's'snd'spdpMpdp's's'sd's'R'sd's'R's's'RdMpdp's's's's'R'g's'p'M'g'R'snd's'sn'g'R'sndMddd's's'snd'sndpM'g's's'snd'sndpMgMd'sndpMgRsRpppppppMndppMgRgppMgMgRssRgRgMppppppppdpppMgRgppMgMgRssRgRgMppMpdp's's's's's'snd'sndpMpdp's's's's's's's's's'g'R'snd'sndpM's'sn'g'R'sndMdd'sndpMgMgRsR
anAthudanu gAnu - jingaLa - Adi - thyagarAja	jingala	p'sNDppmGrrmpDpmp's'sNDppmGrrGmpNDpmp'r's'sNDppmGrrGmpNDpmp's'r'G'r'r'sNDppmGrrmpDpmp's's'r'G'r'r's'sNDpmmGGrmGrGmpNDpm'p's'r'G'r'r'sNDppmG'sNDpmpDp'sp's's'r'r'r's'r'r'm'r'G'G'r'r'sp's's'r'r'r's'r'r'G'm'm'G'G'G'r'r's'r's's'r'sNDpmpDp's'r'sNDpmGrssrGmpDND'r's'r'G'r'sNDpmpDp's'sNDpDpDpmmpDpNDpmGrGmppDpm'r'sNDpmpNDmppmGrspDNDpDNDpmp'sNDpmp'sNDpmGrsrGmpDNDpmp'sNDpmp'sNDpmGrGrmGrpmGrNDpmp'sNDpmp'sNDpmGrsrGmGrsrGmpDNDpp's'r'G'r'G'm'G'r's'r'G'm'G'r's'G'r'sND'r'sNDp'sNDpmppDNDpmGrrmpmp's'sNDp'sNDppmGrss.N.D.pspmGrsp'sNDppmGrss.N.D.ps'sNDpmGrsp's's'r'r'r's'r'r'G'm'm'G'G'G'r'r's'r'sNDpmpNDmppmGrspDNDpDND
anEkAthmanE - VijayanAgari - Adi - Muthaiah Bhagavathar	vijayanagari	pMpd's'sddddpdpMGGrrGMpMpMGrGMpddpd's'r'r'G'r's'r'sd'r'r's'sddpM'r'r's'sddd'sd's'r's'r'G'r'G'r'sd's'r'G'r'r's'sddpMpd's'r's'r'G'r'G'M'G'r'r'r'G'G'r'r'sd's'r'G'G'r's'r'sdppMGrGMpMpMpd'sdpdpMGrGpMdp'sdpMGrsrGMpMGrGMpd'sdpdpMppddd's'sdpddpMGrGMppdMpd'sd'r'spd's'rsrMpd's'r'G'r'r'sd'spd'sMpd's'r's'G'r'M'G'r's'r's'spdpp'ssrGMppMdppMGrssrGrs.dsrGMpMpdppMGrrss.dsrGpMdp'r'r's'sddd'sd's'r's'r'G'r'G'r'sd's'r'G'r'r's'sddpMpd's'r's'r'G'r'G'M'G'r'r'r'G'G'r'r'sd's'r'G'G'r's'r'sdppMGrGMpM
